name;duration;genre_id;disc_number;track_number;;uri;explicit;popularity
Believe;342426;17;1;16;;https://p.scdn.co/mp3-preview/455f6d3d05bc4c9c92d43a4b0259db200742b61c?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;41
Believe in Nothing;261986;40;1;10;;https://p.scdn.co/mp3-preview/544980d33676c39fdd8dd7b11edc47d6625c7fb5?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;45
Berlin Chair;154666;149;1;2;;https://p.scdn.co/mp3-preview/df61e2c13f0b8fdaebc101288d8a0b34fa58ddee?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;47
Best of You;255626;79;1;3;;https://p.scdn.co/mp3-preview/720ad0b60a24b6be93a8c6b42723b1e503affdb2?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;76
Better Days (And the Bottom Drops Out);207026;138;1;2;;https://p.scdn.co/mp3-preview/08995a17996730d88efc94f653789d615654e9d9?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;58
Better Man;268586;22;1;11;;https://p.scdn.co/mp3-preview/58210f3687c253cc304fd276d20780638221606b?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;67
Beyond the Realms of Death;409800;22;1;8;;https://p.scdn.co/mp3-preview/7afbae4a4fb037bd7a82dcb37c466f9613e0e8ec?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;56
Big Gun;259413;22;1;17;;https://p.scdn.co/mp3-preview/6a339d1ef8418fb8b3451439f5c605de4b602018?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;60
Big Log - 2006 Remaster;304800;121;1;8;;https://p.scdn.co/mp3-preview/b6c12d2ebd4b9144fc36cacd3158568048b57ec2?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;60
Big Love;218840;138;1;14;;https://p.scdn.co/mp3-preview/cc5c1d762dba25e085195cdaa939e333dec2c427?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;52
